198.41.219.131#🇺🇸圣何塞 10.36MB/s 162ms
162.159.234.240#🇺🇸丹佛 10.04MB/s 177ms
162.159.234.71#🇺🇸丹佛 9.99MB/s 175ms
162.159.234.132#🇺🇸丹佛 9.97MB/s 176ms
198.41.219.66#🇺🇸圣何塞 9.94MB/s 152ms
172.64.53.69#🇺🇸洛杉矶 9.78MB/s 179ms
172.66.45.183#🇺🇸洛杉矶 9.76MB/s 179ms
104.17.124.141#🇺🇸洛杉矶 9.76MB/s 180ms
88.216.69.227#🇺🇸洛杉矶 9.75MB/s 180ms
170.168.7.99#🇺🇸洛杉矶 9.75MB/s 179ms
104.20.20.35#🇭🇰香港 9.73MB/s 179ms
198.41.219.102#🇺🇸圣何塞 9.70MB/s 180ms
104.20.24.74#🇭🇰香港 9.66MB/s 175ms
162.159.234.152#🇺🇸丹佛 9.52MB/s 179ms
162.159.234.217#🇺🇸丹佛 9.49MB/s 174ms
198.41.219.90#🇺🇸圣何塞 9.45MB/s 160ms
104.29.125.27#🇩🇪法兰克福 9.08MB/s 176ms
